zeit	luftfeuchte	Temperatur	Druck
01:07:38	  000046.7	  000016.1	  000985.4
01:08:38	  000046.7	  000016.1	  000985.4
01:09:38	  000046.7	  000016.1	  000985.4
01:10:38	  000046.7	  000016.1	  000985.3
01:11:38	  000046.7	  000016.1	  000985.4
01:12:38	  000046.7	  000016.1	  000985.3
01:13:38	  000046.7	  000016.1	  000985.3
01:14:38	  000046.7	  000016.1	  000985.4
01:15:38	  000046.7	  000016.1	  000985.3
01:16:38	  000046.7	  000016.1	  000985.3
01:17:38	  000046.7	  000016.1	  000985.2
01:18:38	  000046.7	  000016.1	  000985.2
01:19:38	  000046.7	  000016.1	  000985.2
01:20:38	  000046.7	  000016.1	  000985.1
01:21:38	  000046.7	  000016.1	  000985.1
01:22:38	  000046.7	  000016.1	  000985.2
01:23:38	  000046.7	  000016.1	  000985.1
01:24:38	  000046.7	  000016.1	  000985.1
01:25:38	  000046.7	  000016.1	  000985.1
01:26:38	  000046.7	  000016.1	  000985.1
01:27:38	  000046.7	  000016.1	  000985.1
01:28:38	  000046.7	  000016.1	  000985.1
01:29:38	  000046.7	  000016.1	  000985.0
01:30:38	  000046.7	  000016.1	  000984.9
01:31:38	  000046.7	  000016.1	  000985.0
01:32:38	  000046.7	  000016.1	  000984.9
01:33:38	  000046.7	  000016.1	  000984.9
01:34:38	  000046.7	  000016.1	  000984.9
01:35:38	  000046.7	  000016.1	  000984.8
01:36:38	  000046.7	  000016.1	  000985.0
01:37:38	  000046.7	  000016.1	  000984.9
01:38:38	  000046.7	  000016.1	  000984.9
01:39:38	  000046.7	  000016.1	  000984.8
01:40:38	  000046.7	  000016.1	  000984.8
01:41:38	  000046.7	  000016.1	  000984.9
01:42:38	  000046.7	  000016.1	  000984.8
01:43:38	  000046.7	  000016.1	  000984.8
01:44:38	  000046.7	  000016.1	  000984.8
01:45:38	  000046.7	  000016.1	  000984.8
01:46:38	  000046.7	  000016.1	  000984.7
01:47:38	  000046.7	  000016.1	  000984.7
01:48:38	  000046.7	  000016.1	  000984.8
01:49:38	  000046.7	  000016.1	  000984.7
01:50:38	  000046.7	  000016.1	  000984.6
01:51:38	  000046.7	  000016.1	  000984.6
01:52:38	  000046.7	  000016.1	  000984.6
01:53:38	  000046.7	  000016.1	  000984.7
01:54:38	  000046.7	  000016.1	  000984.7
01:55:38	  000046.7	  000016.1	  000984.6
01:56:38	  000046.7	  000016.1	  000984.6
01:57:38	  000046.7	  000016.1	  000984.6
